raw_row_number,date,time,location,district,service_area,subject_age,subject_race,subject_sex,type,arrest_made,contraband_found,frisk_performed,search_conducted,search_person,search_vehicle,raw_race,raw_individual_contraband,raw_vehicle_contraband
384153,1/28/2014,17:50:00,6300 BLOCK CASTOR AV,2,21,22,black,female,vehicular,FALSE,NA,FALSE,FALSE,FALSE,FALSE,Black - Non-Latino,FALSE,FALSE
234525,1/28/2014,17:50:00,N 59TH ST / MASTER ST,19,192,35,black,female,vehicular,FALSE,NA,FALSE,FALSE,FALSE,FALSE,Black - Non-Latino,FALSE,FALSE
251693,1/28/2014,17:51:00,1300 BLOCK W LEHIGH AV,22,221,57,black,male,vehicular,FALSE,NA,FALSE,FALSE,FALSE,FALSE,Black - Non-Latino,FALSE,FALSE
142113,1/28/2014,17:51:00,1500 BLOCK FRANKLIN MILLS CIR,8,83,25,white,male,vehicular,FALSE,NA,FALSE,FALSE,FALSE,FALSE,White - Non-Latino,FALSE,FALSE
40446,1/28/2014,17:51:00,COBBS CREEK PKWY / GREENWAY PL,12,124,26,black,female,vehicular,FALSE,NA,FALSE,FALSE,FALSE,FALSE,Black - Non-Latino,FALSE,FALSE
251269,1/28/2014,17:51:00,N 12TH ST / MASTER ST,22,223,20,asian/pacific islander,male,vehicular,FALSE,NA,FALSE,FALSE,FALSE,FALSE,Asian,FALSE,FALSE
255724,1/28/2014,17:53:00,2400 BLOCK N 12TH ST,22,221,65,white,male,vehicular,FALSE,NA,FALSE,FALSE,FALSE,FALSE,White - Non-Latino,FALSE,FALSE
157161,1/28/2014,17:55:00,6000 BLOCK WOODLAND AV,12,123,47,black,male,vehicular,FALSE,NA,FALSE,FALSE,FALSE,FALSE,Black - Non-Latino,FALSE,FALSE
405710,1/28/2014,18:00:00,0 BLOCK N 60TH ST,19,192,37,black,male,pedestrian,FALSE,NA,FALSE,FALSE,FALSE,FALSE,Black - Non-Latino,FALSE,FALSE
88081,1/28/2014,18:00:00,2100 BLOCK OREGON AV,1,11,23,black,male,vehicular,FALSE,NA,FALSE,FALSE,FALSE,FALSE,Black - Non-Latino,FALSE,FALSE
384149,1/28/2014,18:00:00,2300 BLOCK COTTMAN AV,2,23,26,white,male,vehicular,FALSE,NA,FALSE,FALSE,FALSE,FALSE,White - Non-Latino,FALSE,FALSE
222432,1/28/2014,18:00:00,700 BLOCK S BROAD ST,17,171,43,black,female,pedestrian,FALSE,NA,FALSE,FALSE,FALSE,FALSE,Black - Non-Latino,FALSE,FALSE
125724,1/28/2014,18:00:00,900 BLOCK ARCH ST,6,62,31,white,female,vehicular,FALSE,NA,FALSE,FALSE,FALSE,FALSE,White - Non-Latino,FALSE,FALSE
214700,1/28/2014,18:00:00,N 39TH ST / W GIRARD AV,16,161,46,black,female,vehicular,FALSE,NA,FALSE,FALSE,FALSE,FALSE,Black - Non-Latino,FALSE,FALSE
214512,1/28/2014,18:00:00,N 50TH ST / WYALUSING AV,16,162,31,black,female,vehicular,FALSE,NA,FALSE,FALSE,FALSE,FALSE,Black - Non-Latino,FALSE,FALSE
111050,1/28/2014,18:00:00,S BROAD ST / TERMINAL AV,3,33,45,white,male,vehicular,FALSE,NA,FALSE,FALSE,FALSE,FALSE,White - Non-Latino,FALSE,FALSE
234524,1/28/2014,18:01:00,0 BLOCK N 60TH ST,19,192,36,black,male,pedestrian,FALSE,NA,FALSE,FALSE,FALSE,FALSE,Black - Non-Latino,FALSE,FALSE
147609,1/28/2014,18:03:00,2000 BLOCK JOHN F KENNEDY BLVD,9,91,33,black,male,vehicular,FALSE,NA,FALSE,FALSE,FALSE,FALSE,Black - Non-Latino,FALSE,FALSE
384151,1/28/2014,18:05:00,1300 BLOCK PASSMORE ST,2,21,19,black,male,pedestrian,FALSE,NA,TRUE,FALSE,FALSE,FALSE,Black - Non-Latino,FALSE,FALSE
222433,1/28/2014,18:05:00,2300 BLOCK REED ST,17,173,36,black,male,vehicular,FALSE,NA,FALSE,FALSE,FALSE,FALSE,Black - Non-Latino,FALSE,FALSE
142112,1/28/2014,18:05:00,2600 BLOCK GRANT AV,8,82,49,white,male,vehicular,FALSE,NA,FALSE,FALSE,FALSE,FALSE,White - Non-Latino,FALSE,FALSE
323862,1/28/2014,18:05:00,4800 BLOCK OLD YORK RD,35,352,44,black,female,vehicular,FALSE,NA,FALSE,FALSE,FALSE,FALSE,Black - Non-Latino,FALSE,FALSE
